SiteName,County,AQI,Pollutant,Status,SO2,CO,CO_8hr,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,PublishTime,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
潮州,屏東縣,88,細懸浮微粒,普通,2.1,0.35,0.4,38.9,12,42,28,6.3,7.8,1.4,1.6,287,2021/12/23 12:00:00,30,50,1,120.561175,22.523108,60
恆春,屏東縣,39,,良好,1,0.21,0.2,47.6,42,5,2,1.2,2.1,0.9,8.3,31,2021/12/23 12:00:00,4,7,0,120.788928,21.958069,61
臺東,臺東縣,30,,良好,1.6,0.33,0.3,46.8,32,19,4,6.9,9.4,2.5,2.7,77,2021/12/23 12:00:00,4,11,1,121.15045,22.755358,62
花蓮,花蓮縣,18,,良好,1.3,0.3,0.3,,,12,3,8.1,11.5,3.4,2.8,92,2021/12/23 12:00:00,5,11,0,121.599769,23.971306,63
陽明,臺北市,51,臭氧八小時,普通,0.7,0.21,0.2,51.2,55,0,0,1,1.8,0.8,1.3,200,2021/12/23 12:00:00,1,3,0,121.529583,25.182722,64
宜蘭,宜蘭縣,31,,良好,0.6,0.23,0.2,51.9,33,9,5,3.7,4.4,0.7,0.8,226,2021/12/23 12:00:00,4,8,0,121.746394,24.747917,65
冬山,宜蘭縣,30,,良好,0.7,0.23,0.2,46.6,32,17,4,5.5,7.2,1.7,1,247,2021/12/23 12:00:00,3,10,0,121.792928,24.632203,66
三重,新北市,69,細懸浮微粒,普通,1.2,1.34,1.3,7.1,11,60,22,51.5,117.3,65.8,-,-,2021/12/23 12:00:00,22,48,1,121.493806,25.072611,67
中壢,桃園市,64,細懸浮微粒,普通,2.2,0.85,0.7,2.8,15,55,23,48.6,108.5,59.9,0.4,333,2021/12/23 12:00:00,20,45,1,121.221667,24.953278,68
竹山,南投縣,67,細懸浮微粒,普通,2.1,0.36,0.4,29.4,9,48,30,16.3,19.6,3.2,1,165,2021/12/23 12:00:00,22,33,1,120.677306,23.756389,69
永和,新北市,59,細懸浮微粒,普通,1.2,0.61,0.5,27.9,36,43,17,21.8,29.2,7.3,1.5,95,2021/12/23 12:00:00,18,38,0,121.516306,25.017,70
復興,高雄市,115,細懸浮微粒,對敏感族群不健康,2.1,,1.1,25.3,5,,,,,,1.4,196,2021/12/23 12:00:00,40,66,1,120.312017,22.608711,71
埔里,南投縣,49,,良好,1.2,0.26,0.4,32.2,9,18,15,2.8,4.2,1.3,1.9,283,2021/12/23 12:00:00,15,23,1,120.967903,23.968842,72
馬祖,連江縣,95,細懸浮微粒,普通,2.7,0.32,0.3,42.1,44,47,21,8.2,9.5,1.3,2.2,311,2021/12/23 12:00:00,33,58,2,119.949875,26.160469,75
金門,金門縣,90,細懸浮微粒,普通,4.8,0.34,0.3,39,31,63,31,15.6,18.3,2.7,2.8,23,2021/12/23 12:00:00,31,61,3,118.312256,24.432133,77
馬公,澎湖縣,65,細懸浮微粒,普通,1,0.27,0.2,56.7,55,50,21,3.7,4.6,0.8,5.2,24,2021/12/23 12:00:00,21,48,0,119.566158,23.569031,78
關山,臺東縣,17,,良好,1.2,-,-,38.4,18,7,0,4.3,6.4,2,2.1,60,2021/12/23 12:00:00,3,11,1,121.161933,23.045083,80
麥寮,雲林縣,70,細懸浮微粒,普通,2,0.27,0.4,53.6,33,42,16,6.6,8.4,1.7,5.3,7,2021/12/23 12:00:00,23,39,3,120.251825,23.753506,83
富貴角,新北市,62,懸浮微粒,普通,0,0.17,0.1,52.3,57,64,21,1.8,1.8,0,0.8,109,2021/12/23 12:00:00,19,62,0,121.54738,25.29228,84
大城,彰化縣,56,細懸浮微粒,普通,1.3,0.23,0.3,55.8,38,36,12,6.7,8.3,1.5,6.1,19,2021/12/23 12:00:00,17,40,1,120.26964167,23.85493056,85
高雄(湖內),高雄市,108,細懸浮微粒,對敏感族群不健康,3.4,0.57,0.5,18.1,7,58,41,33.6,48,14.4,1.1,338,2021/12/23 12:00:00,38,52,1,120.24535,22.87985556,202
臺南(麻豆),臺南市,83,細懸浮微粒,普通,1.6,0.4,0.3,32.3,18,49,36,12,15.6,3.5,2.4,9,2021/12/23 12:00:00,28,46,1,120.24583056,23.17904722,203
屏東(琉球),屏東縣,85,細懸浮微粒,普通,6.6,0.7,0.6,35.5,15,58,30,21.7,27.2,5.5,1.9,333,2021/12/23 12:00:00,29,56,2,120.37722,22.35222,204
新北(樹林),新北市,51,細懸浮微粒,普通,0.8,0.49,0.5,20.4,19,34,,28.4,39,10.6,,,2021/12/23 12:00:00,15,26,0,121.38352778,24.94902778,311
臺南(學甲),臺南市,79,細懸浮微粒,普通,1.6,0.39,0.3,25.1,17,60,31,24.6,51.1,26.4,2.2,12,2021/12/23 12:00:00,27,47,1,120.18339722,23.23688056,312
屏東(枋寮),屏東縣,71,細懸浮微粒,普通,0.4,0.24,0.3,36,14,35,16,4.5,5,0.5,4.3,326,2021/12/23 12:00:00,23,42,0,120.59036944,22.38474167,313
